"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GET&amp;D","EQ","11-Sep-2018","        276.35","        276.40","        278.00","        268.50","        269.45","        269.70","        272.27","      18940","             5156742.15","        887","      12755","         67.34"
"GET&amp;D","EQ","12-Sep-2018","        269.70","        270.90","        273.10","        264.80","        268.90","        270.05","        268.82","      31639","             8505207.35","       1261","      15097","         47.72"
"GET&amp;D","EQ","14-Sep-2018","        270.05","        270.90","        282.90","        270.05","        278.00","        278.30","        277.90","      58597","            16284328.00","       3937","      24481","         41.78"
"GET&amp;D","EQ","17-Sep-2018","        278.30","        278.30","        282.90","        273.00","        278.95","        279.75","        277.43","      21633","             6001630.95","       1119","      11309","         52.28"
"GET&amp;D","EQ","18-Sep-2018","        279.75","        276.00","        285.85","        275.60","        283.00","        283.90","        282.90","      42043","            11893786.35","       2036","      27571","         65.58"
"GET&amp;D","EQ","19-Sep-2018","        283.90","        284.95","        284.95","        269.10","        276.05","        277.35","        276.17","      38361","            10594162.25","       1278","      24716","         64.43"
"GET&amp;D","EQ","21-Sep-2018","        277.35","        275.50","        282.85","        262.25","        265.70","        266.90","        269.82","      47905","            12925561.90","       2666","      30156","         62.95"
"GET&amp;D","EQ","24-Sep-2018","        266.90","        268.95","        268.95","        256.05","        265.55","        263.85","        262.70","      45697","            12004459.65","       1622","      32393","         70.89"
"GET&amp;D","EQ","25-Sep-2018","        263.85","        263.00","        263.05","        256.30","        257.00","        257.90","        258.07","      82527","            21298059.65","       1484","      58824","         71.28"
"GET&amp;D","EQ","26-Sep-2018","        257.90","        261.50","        261.50","        255.15","        256.05","        256.60","        257.62","      10461","             2694944.05","        558","       4985","         47.65"
"GET&amp;D","EQ","27-Sep-2018","        256.60","        256.85","        258.80","        246.05","        246.05","        247.80","        251.16","      29183","             7329712.45","       1721","      16318","         55.92"
"GET&amp;D","EQ","28-Sep-2018","        247.80","        248.05","        250.70","        233.15","        240.05","        235.75","        239.66","      34890","             8361605.05","       1875","      22320","         63.97"
"GET&amp;D","EQ","01-Oct-2018","        235.75","        233.50","        243.75","        230.00","        239.90","        235.30","        234.14","      62933","            14735246.20","        972","      45775","         72.74"
"GET&amp;D","EQ","03-Oct-2018","        235.30","        235.25","        264.90","        234.05","        262.60","        262.40","        257.50","      63202","            16274202.30","       2709","      24010","         37.99"
"GET&amp;D","EQ","04-Oct-2018","        262.40","        259.60","        274.75","        249.00","        270.00","        265.65","        262.07","      45482","            11919565.05","       1758","      25236","         55.49"
"GET&amp;D","EQ","05-Oct-2018","        265.65","        262.00","        270.50","        253.55","        255.10","        258.75","        261.84","     220966","            57858151.55","       1743","     205738","         93.11"
"GET&amp;D","EQ","08-Oct-2018","        258.75","        253.50","        259.00","        249.10","        258.95","        255.95","        254.08","      20594","             5232589.60","       1238","      12075","         58.63"
"GET&amp;D","EQ","09-Oct-2018","        255.95","        256.15","        274.80","        250.50","        272.90","        267.60","        262.34","      22965","             6024740.80","       1195","      15725","         68.47"
"GET&amp;D","EQ","10-Oct-2018","        267.60","        265.50","        270.00","        263.00","        264.00","        266.50","        267.10","      12593","             3363589.20","        726","       7607","         60.41"
"GET&amp;D","EQ","11-Oct-2018","        266.50","        262.50","        265.20","        251.70","        257.50","        258.20","        258.58","      12287","             3177162.40","        677","       6486","         52.79"
"GET&amp;D","EQ","12-Oct-2018","        258.20","        261.90","        264.40","        258.00","        258.70","        259.35","        260.64","       9998","             2605876.75","        732","       6379","         63.80"
"GET&amp;D","EQ","15-Oct-2018","        259.35","        260.75","        263.85","        254.00","        254.10","        256.25","        257.39","       9466","             2436448.65","        593","       6699","         70.77"
"GET&amp;D","EQ","16-Oct-2018","        256.25","        254.35","        262.50","        252.55","        254.50","        255.15","        257.84","      17548","             4524641.80","        864","      10139","         57.78"
"GET&amp;D","EQ","17-Oct-2018","        255.15","        256.15","        270.00","        253.65","        255.00","        255.40","        260.95","      31264","             8158435.15","       2072","      12935","         41.37"
"GET&amp;D","EQ","19-Oct-2018","        255.40","        255.40","        255.75","        242.90","        244.75","        245.30","        244.15","     122903","            30007043.55","       3483","     112458","         91.50"
"GET&amp;D","EQ","22-Oct-2018","        245.30","        245.35","        249.55","        237.25","        237.30","        239.45","        242.49","       8618","             2089759.85","        535","       4499","         52.20"
"GET&amp;D","EQ","23-Oct-2018","        239.45","        236.20","        240.50","        227.50","        232.70","        232.60","        230.56","     914395","           210826265.00","        765","       8097","          0.89"
"GET&amp;D","EQ","24-Oct-2018","        232.60","        233.00","        238.35","        229.75","        230.00","        230.80","        232.47","      12380","             2877935.40","        771","       6886","         55.62"
"GET&amp;D","EQ","25-Oct-2018","        230.80","        227.80","        233.35","        227.05","        229.00","        229.60","        229.62","       7785","             1787620.75","        460","       3742","         48.07"
"GET&amp;D","EQ","26-Oct-2018","        229.60","        229.15","        233.95","        228.35","        230.95","        230.60","        230.65","       9605","             2215397.25","        374","       6551","         68.20"
"GET&amp;D","EQ","29-Oct-2018","        230.60","        232.10","        237.00","        230.00","        231.10","        232.40","        233.77","      10450","             2442856.10","        580","       5126","         49.05"
"GET&amp;D","EQ","30-Oct-2018","        232.40","        231.15","        236.50","        231.15","        233.00","        232.65","        233.85","       8225","             1923375.30","        549","       4355","         52.95"
"GET&amp;D","EQ","31-Oct-2018","        232.65","        232.05","        235.40","        229.90","        230.60","        230.80","        232.15","      15352","             3563954.55","        782","       9841","         64.10"
"GET&amp;D","EQ","01-Nov-2018","        230.80","        232.75","        237.80","        232.75","        234.75","        235.25","        235.65","      16608","             3913731.15","        626","      10434","         62.83"
"GET&amp;D","EQ","02-Nov-2018","        235.25","        238.50","        249.80","        236.05","        240.75","        240.20","        243.11","      31969","             7771942.50","       1085","      18832","         58.91"
"GET&amp;D","EQ","05-Nov-2018","        240.20","        238.80","        243.05","        235.00","        235.00","        235.50","        237.15","      16674","             3954304.70","        763","      13254","         79.49"
"GET&amp;D","EQ","06-Nov-2018","        235.50","        236.00","        238.85","        227.35","        228.00","        228.30","        231.28","      52275","            12090212.10","       1775","      33446","         63.98"
"GET&amp;D","EQ","07-Nov-2018","        228.30","        232.00","        233.80","        229.00","        233.20","        233.15","        232.02","       4647","             1078196.90","        177","       3054","         65.72"
