"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"L&amp;TFH","EQ","29-Oct-2018","        117.90","        119.00","        122.85","        116.35","        122.20","        122.40","        120.79","    9507238","          1148337848.35","      60433","    2714813","         28.56"
"L&amp;TFH","EQ","30-Oct-2018","        122.40","        122.15","        126.20","        121.30","        124.10","        124.15","        124.63","    8370890","          1043266685.10","      57808","    2400803","         28.68"
"L&amp;TFH","EQ","31-Oct-2018","        124.15","        125.65","        128.65","        123.20","        127.25","        127.75","        125.88","    9405780","          1184046034.40","      61134","    2268090","         24.11"
"L&amp;TFH","EQ","01-Nov-2018","        127.75","        129.25","        136.80","        127.75","        135.35","        135.85","        133.29","   15301340","          2039491266.85","     103767","    4358776","         28.49"
"L&amp;TFH","EQ","02-Nov-2018","        135.85","        137.90","        138.40","        133.50","        134.00","        134.15","        136.47","   11271521","          1538222559.20","      85865","    3492564","         30.99"
"L&amp;TFH","EQ","05-Nov-2018","        134.15","        134.45","        138.65","        132.70","        136.30","        136.00","        135.69","   10410336","          1412560099.45","      76271","    2278528","         21.89"
"L&amp;TFH","EQ","06-Nov-2018","        136.00","        137.20","        137.35","        134.35","        134.70","        135.00","        135.48","    4849837","           657049220.75","      45902","    1316340","         27.14"
"L&amp;TFH","EQ","07-Nov-2018","        135.00","        136.00","        136.75","        135.65","        136.25","        136.30","        136.16","     992805","           135178290.55","      10234","     530181","         53.40"
"L&amp;TFH","EQ","09-Nov-2018","        136.30","        136.50","        137.10","        133.80","        135.85","        135.90","        135.51","    4751953","           643957920.20","      52815","    1497887","         31.52"
"L&amp;TFH","EQ","12-Nov-2018","        135.90","        135.90","        136.60","        132.40","        132.60","        132.85","        133.78","    4260841","           570031041.45","      45707","    1387904","         32.57"
"L&amp;TFH","EQ","13-Nov-2018","        132.85","        132.70","        136.70","        129.90","        135.50","        135.40","        133.38","    6806082","           907792409.15","      51530","    1485720","         21.83"
"L&amp;TFH","EQ","14-Nov-2018","        135.40","        135.80","        137.25","        132.50","        133.55","        133.85","        134.85","    5106107","           688545691.25","      42528","    1705082","         33.39"
"L&amp;TFH","EQ","15-Nov-2018","        133.85","        133.90","        136.35","        131.85","        135.10","        135.55","        134.39","    4353992","           585140378.95","      32679","    1034501","         23.76"
"L&amp;TFH","EQ","16-Nov-2018","        135.55","        136.00","        136.75","        131.20","        132.80","        132.55","        133.34","    4437495","           591710447.75","      32904","    1024728","         23.09"
"L&amp;TFH","EQ","19-Nov-2018","        132.55","        133.40","        134.40","        132.10","        133.70","        133.75","        133.41","    3555410","           474343190.55","      25376","     579107","         16.29"
"L&amp;TFH","EQ","20-Nov-2018","        133.75","        132.10","        134.00","        130.20","        131.30","        131.60","        131.97","    4430735","           584716589.95","      29143","    1126130","         25.42"
"L&amp;TFH","EQ","21-Nov-2018","        131.60","        131.10","        137.00","        131.10","        136.10","        136.50","        134.64","    6121753","           824233750.35","      46554","    1614934","         26.38"
"L&amp;TFH","EQ","22-Nov-2018","        136.50","        136.50","        136.90","        132.80","        133.00","        133.30","        135.01","    4516834","           609822498.85","      30972","    1006998","         22.29"
"L&amp;TFH","EQ","26-Nov-2018","        133.30","        133.90","        134.35","        129.60","        131.30","        131.50","        131.28","    4414428","           579517348.50","      27857","    1224338","         27.73"
"L&amp;TFH","EQ","27-Nov-2018","        131.50","        131.35","        132.75","        130.60","        131.35","        131.45","        131.59","    3729371","           490746815.25","      28150","     683538","         18.33"
"L&amp;TFH","EQ","28-Nov-2018","        131.45","        131.75","        139.80","        129.15","        139.00","        139.00","        136.46","   22587487","          3082184989.75","      84357","    7088923","         31.38"
"L&amp;TFH","EQ","29-Nov-2018","        139.00","        141.50","        145.50","        141.05","        143.85","        143.85","        143.54","   25965249","          3727159504.40","      96576","    7406788","         28.53"
"L&amp;TFH","EQ","30-Nov-2018","        143.85","        145.00","        145.65","        143.50","        144.20","        144.20","        144.17","    5539236","           798618033.65","      39410","    1012919","         18.29"
"L&amp;TFH","EQ","03-Dec-2018","        144.20","        145.15","        145.35","        143.00","        143.75","        144.20","        144.02","    5181402","           746213741.35","      23401","    1676661","         32.36"
"L&amp;TFH","EQ","04-Dec-2018","        144.20","        144.00","        148.00","        143.50","        146.10","        146.35","        145.39","    9993498","          1453001041.05","      42714","    2388198","         23.90"
"L&amp;TFH","EQ","05-Dec-2018","        146.35","        146.10","        146.15","        143.00","        144.05","        144.20","        144.03","    5318150","           765981320.90","      23853","    1877835","         35.31"
"L&amp;TFH","EQ","06-Dec-2018","        144.20","        142.30","        144.85","        138.25","        139.00","        139.65","        142.51","   17311308","          2467096285.45","      71213","    4912180","         28.38"
"L&amp;TFH","EQ","07-Dec-2018","        139.65","        139.65","        140.90","        135.70","        138.00","        138.80","        138.47","   11860519","          1642366570.55","      63583","    3666040","         30.91"
"L&amp;TFH","EQ","10-Dec-2018","        138.80","        135.00","        135.90","        132.15","        133.65","        133.85","        134.39","    4170222","           560439298.20","      29458","    1485466","         35.62"
"L&amp;TFH","EQ","11-Dec-2018","        133.85","        130.65","        138.35","        130.65","        137.00","        137.50","        136.04","    4981227","           677625863.50","      36383","    1020985","         20.50"
"L&amp;TFH","EQ","12-Dec-2018","        137.50","        138.00","        144.40","        138.00","        143.80","        143.90","        142.74","    4622094","           659773815.50","      31400","    1142933","         24.73"
