"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IL&amp;FSTRANS","EQ","11-Sep-2018","         25.90","         25.95","         27.00","         25.30","         26.10","         26.15","         26.40","     724296","            19120965.70","       4111","     258518","         35.69"
"IL&amp;FSTRANS","EQ","12-Sep-2018","         26.15","         25.75","         26.30","         24.25","         24.95","         24.90","         24.99","     499977","            12492610.10","       2507","     223976","         44.80"
"IL&amp;FSTRANS","EQ","14-Sep-2018","         24.90","         25.25","         25.25","         23.50","         23.80","         23.70","         23.99","     766789","            18394952.65","       3885","     423606","         55.24"
"IL&amp;FSTRANS","EQ","17-Sep-2018","         23.70","         22.30","         28.25","         21.75","         27.05","         27.10","         25.73","    3818505","            98246897.00","      16308","     832699","         21.81"
"IL&amp;FSTRANS","EQ","18-Sep-2018","         27.10","         27.00","         28.15","         25.00","         25.45","         25.25","         26.40","     939222","            24796217.10","       4196","     250662","         26.69"
"IL&amp;FSTRANS","EQ","19-Sep-2018","         25.25","         26.30","         27.50","         23.25","         23.80","         23.55","         25.20","    1469466","            37033687.30","       7019","     475263","         32.34"
"IL&amp;FSTRANS","EQ","21-Sep-2018","         23.55","         23.70","         23.70","         19.00","         20.15","         20.25","         21.28","    1649447","            35093757.20","       8078","     802365","         48.64"
"IL&amp;FSTRANS","EQ","24-Sep-2018","         20.25","         20.80","         24.30","         20.20","         22.30","         22.35","         22.86","    2043037","            46700771.85","       9739","     737657","         36.11"
"IL&amp;FSTRANS","EQ","25-Sep-2018","         22.35","         22.35","         24.90","         21.15","         24.00","         23.75","         23.25","    2162419","            50273267.55","       9367","     373464","         17.27"
"IL&amp;FSTRANS","EQ","26-Sep-2018","         23.75","         24.30","         25.00","         22.80","         23.40","         23.55","         23.66","     856893","            20275443.65","       4276","     289018","         33.73"
"IL&amp;FSTRANS","EQ","27-Sep-2018","         23.55","         23.35","         24.60","         23.00","         23.75","         23.60","         23.82","     523482","            12470359.45","       2617","     274829","         52.50"
"IL&amp;FSTRANS","EQ","28-Sep-2018","         23.60","         23.70","         24.15","         21.55","         23.25","         22.55","         22.92","     549433","            12591383.35","       3697","     215249","         39.18"
"IL&amp;FSTRANS","EQ","01-Oct-2018","         22.55","         23.10","         27.05","         22.80","         27.00","         26.80","         25.85","    5026941","           129923151.30","      17143","    1595676","         31.74"
"IL&amp;FSTRANS","EQ","03-Oct-2018","         26.80","         31.40","         32.15","         30.05","         32.15","         32.05","         31.81","    4867656","           154830179.25","       9673","    2041191","         41.93"
"IL&amp;FSTRANS","EQ","04-Oct-2018","         32.05","         32.00","         37.20","         29.15","         33.65","         33.70","         34.06","    8184246","           278724512.45","      35083","    2130527","         26.03"
"IL&amp;FSTRANS","EQ","05-Oct-2018","         33.70","         32.80","         33.80","         30.35","         30.35","         30.35","         31.27","    2120912","            66322801.15","      10576","     844146","         39.80"
"IL&amp;FSTRANS","EQ","08-Oct-2018","         30.35","         28.60","         29.00","         27.35","         27.35","         27.35","         27.48","     622991","            17122129.80","       1369","     422366","         67.80"
"IL&amp;FSTRANS","EQ","09-Oct-2018","         27.35","         24.65","         25.90","         24.65","         24.65","         24.65","         24.73","     234050","             5788850.85","        727","     122660","         52.41"
"IL&amp;FSTRANS","EQ","10-Oct-2018","         24.65","         23.45","         23.90","         23.45","         23.45","         23.45","         23.47","     440631","            10339646.90","        709","     309285","         70.19"
"IL&amp;FSTRANS","EQ","11-Oct-2018","         23.45","         22.30","         23.35","         22.30","         22.30","         22.30","         22.46","    1134278","            25477315.40","       1792","     348536","         30.73"
"IL&amp;FSTRANS","EQ","12-Oct-2018","         22.30","         22.65","         23.35","         22.25","         23.00","         22.80","         22.75","     894780","            20359098.00","       3721","     408439","         45.65"
"IL&amp;FSTRANS","EQ","15-Oct-2018","         22.80","         23.70","         23.90","         21.70","         22.35","         21.95","         22.32","     391399","             8737350.70","       2203","     229042","         58.52"
