"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"L&amp;TFINANCE","N4","30-Aug-2018","       1054.20","       1054.25","       1060.01","       1054.25","       1060.00","       1060.00","       1056.98","        145","              153262.15","         14","        115","         79.31"
"L&amp;TFINANCE","N4","31-Aug-2018","       1060.00","       1060.00","       1060.00","       1059.00","       1060.00","       1060.00","       1059.94","        128","              135672.00","          5","        128","        100.00"
"L&amp;TFINANCE","N4","03-Sep-2018","       1060.00","       1057.00","       1065.00","       1057.00","       1057.01","       1057.02","       1059.41","        186","              197050.34","         11","        165","         88.71"
"L&amp;TFINANCE","N4","04-Sep-2018","       1057.02","       1055.80","       1060.00","       1055.80","       1059.00","       1059.00","       1057.82","        265","              280321.80","         11","        265","        100.00"
"L&amp;TFINANCE","N4","05-Sep-2018","       1059.00","       1098.95","       1098.95","       1050.11","       1060.00","       1060.00","       1065.77","        505","              538214.47","         15","        404","         80.00"
"L&amp;TFINANCE","N4","06-Sep-2018","       1060.00","       1055.15","       1059.00","       1055.01","       1058.98","       1058.98","       1055.24","        406","              428428.47","         28","        400","         98.52"
"L&amp;TFINANCE","N4","07-Sep-2018","       1058.98","       1062.00","       1069.99","       1055.21","       1065.00","       1065.00","       1065.10","        404","              430299.95","         24","        399","         98.76"
"L&amp;TFINANCE","N4","10-Sep-2018","       1065.00","       1050.01","       1062.50","       1050.01","       1062.50","       1062.50","       1058.76","        222","              235044.47","         12","        175","         78.83"
"L&amp;TFINANCE","N4","11-Sep-2018","       1062.50","       1064.00","       1064.00","       1060.00","       1063.98","       1063.64","       1063.75","         53","               56378.66","          7","         52","         98.11"
"L&amp;TFINANCE","N4","12-Sep-2018","       1063.64","       1055.00","       1055.00","       1015.00","       1027.80","       1027.80","       1027.18","       3124","             3208918.98","         99","       1478","         47.31"
"L&amp;TFINANCE","N4","14-Sep-2018","       1027.80","       1031.00","       1031.00","       1018.00","       1022.00","       1022.00","       1025.38","        187","              191746.75","         14","        137","         73.26"
"L&amp;TFINANCE","N4","17-Sep-2018","       1022.00","       1026.00","       1029.95","       1022.00","       1029.95","       1028.13","       1027.78","       1365","             1402923.45","         43","       1355","         99.27"
"L&amp;TFINANCE","N4","18-Sep-2018","       1028.13","       1031.90","       1032.90","       1026.00","       1026.00","       1026.00","       1026.53","        313","              321302.60","          8","        298","         95.21"
"L&amp;TFINANCE","N4","19-Sep-2018","       1026.00","       1030.00","       1033.00","       1030.00","       1032.95","       1030.54","       1031.53","        553","              570437.00","         26","        492","         88.97"
"L&amp;TFINANCE","N4","21-Sep-2018","       1030.54","       1031.00","       1034.80","       1006.40","       1024.00","       1023.01","       1024.17","       1385","             1418478.48","         45","       1053","         76.03"
"L&amp;TFINANCE","N4","24-Sep-2018","       1023.01","       1011.55","       1037.00","       1001.00","       1011.00","       1010.10","       1011.97","        404","              408834.15","         18","        364","         90.10"
"L&amp;TFINANCE","N4","25-Sep-2018","       1010.10","       1011.00","       1033.00","       1006.00","       1008.02","       1012.26","       1011.30","        654","              661388.37","         37","        393","         60.09"
"L&amp;TFINANCE","N4","26-Sep-2018","       1012.26","       1006.10","       1012.00","       1005.50","       1010.20","       1010.20","       1008.29","        780","              786466.80","         20","        480","         61.54"
"L&amp;TFINANCE","N4","27-Sep-2018","       1010.20","       1036.98","       1036.98","       1015.00","       1015.00","       1016.52","       1018.64","        472","              480798.27","         21","        395","         83.69"
"L&amp;TFINANCE","N4","28-Sep-2018","       1016.52","       1045.00","       1045.00","       1010.25","       1010.25","       1011.69","       1012.67","        463","              468866.50","         17","        323","         69.76"
"L&amp;TFINANCE","N4","01-Oct-2018","       1011.69","       1010.00","       1029.89","       1008.00","       1008.00","       1008.34","       1009.51","       2077","             2096743.97","         46","       2040","         98.22"
"L&amp;TFINANCE","N4","03-Oct-2018","       1008.34","       1010.04","       1014.98","       1008.00","       1008.60","       1008.69","       1008.95","       4609","             4650252.10","         52","       3616","         78.46"
"L&amp;TFINANCE","N4","04-Oct-2018","       1008.69","       1009.75","       1009.75","       1008.00","       1008.10","       1009.05","       1008.43","       1860","             1875671.00","         42","       1842","         99.03"
"L&amp;TFINANCE","N4","05-Oct-2018","       1009.05","       1027.90","       1027.94","       1006.00","       1006.00","       1007.15","       1012.41","       1838","             1860804.94","         55","       1537","         83.62"
"L&amp;TFINANCE","N4","08-Oct-2018","       1007.15","       1010.00","       1015.99","       1007.00","       1007.50","       1007.50","       1010.02","       3126","             3157315.99","         45","       2309","         73.86"
"L&amp;TFINANCE","N4","09-Oct-2018","       1007.50","       1007.50","       1024.90","       1006.00","       1006.00","       1006.00","       1008.94","        865","              872733.70","         20","        840","         97.11"
"L&amp;TFINANCE","N4","10-Oct-2018","       1006.00","       1025.80","       1025.80","       1008.50","       1016.99","       1015.81","       1013.28","       2469","             2501791.12","         63","       2204","         89.27"
"L&amp;TFINANCE","N4","11-Oct-2018","       1015.81","       1015.98","       1015.98","       1009.00","       1015.50","       1014.36","       1012.28","       1157","             1171205.90","         18","       1152","         99.57"
